"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.121.59","172.66.164.67","TLSv1.2","369","Application Data"
"2","0.012920","172.66.164.67","100.86.121.59","TCP","66","443  >  53996 [ACK] Seq=1 Ack=304 Win=17 Len=0 TSval=1715118433 TSecr=1969210017"
"3","0.036071","172.66.164.67","100.86.121.59","TLSv1.2","232","Application Data"
"4","0.036073","172.66.164.67","100.86.121.59","TLSv1.2","108","Application Data"
"5","0.036221","100.86.121.59","172.66.164.67","TCP","66","53996  >  443 [ACK] Seq=304 Ack=209 Win=2045 Len=0 TSval=1969210053 TSecr=1715118457"
"6","0.037140","172.66.164.67","100.86.121.59","TLSv1.2","97","Application Data"
"7","0.037235","100.86.121.59","172.66.164.67","TCP","66","53996  >  443 [ACK] Seq=304 Ack=240 Win=2048 Len=0 TSval=1969210054 TSecr=1715118457"
"8","3.247992","100.86.121.59","172.66.164.67","TLSv1.2","411","Application Data"
"9","3.298616","172.66.164.67","100.86.121.59","TCP","66","443  >  53996 [ACK] Seq=240 Ack=649 Win=17 Len=0 TSval=1715121721 TSecr=1969213265"
"10","5.270261","172.66.164.67","100.86.121.59","TLSv1.2","273","Application Data"
"11","5.270263","172.66.164.67","100.86.121.59","TCP","1514","443  >  53996 [ACK] Seq=447 Ack=649 Win=17 Len=1448 TSval=1715123672 TSecr=1969213265 [TCP PDU reassembled in 26]"
"12","5.270265","172.66.164.67","100.86.121.59","TCP","1514","443  >  53996 [ACK] Seq=1895 Ack=649 Win=17 Len=1448 TSval=1715123672 TSecr=1969213265 [TCP PDU reassembled in 26]"
"13","5.270267","172.66.164.67","100.86.121.59","TCP","1514","443  >  53996 [ACK] Seq=3343 Ack=649 Win=17 Len=1448 TSval=1715123672 TSecr=1969213265 [TCP PDU reassembled in 26]"
"14","5.270269","172.66.164.67","100.86.121.59","TCP","1514","443  >  53996 [ACK] Seq=4791 Ack=649 Win=17 Len=1448 TSval=1715123672 TSecr=1969213265 [TCP PDU reassembled in 26]"
"15","5.270270","172.66.164.67","100.86.121.59","TCP","1514","443  >  53996 [ACK] Seq=6239 Ack=649 Win=17 Len=1448 TSval=1715123672 TSecr=1969213265 [TCP PDU reassembled in 26]"
"16","5.270337","172.66.164.67","100.86.121.59","TCP","1514","443  >  53996 [ACK] Seq=7687 Ack=649 Win=17 Len=1448 TSval=1715123672 TSecr=1969213265 [TCP PDU reassembled in 26]"
"17","5.270339","172.66.164.67","100.86.121.59","TCP","1514","443  >  53996 [ACK] Seq=9135 Ack=649 Win=17 Len=1448 TSval=1715123672 TSecr=1969213265 [TCP PDU reassembled in 26]"
