No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,100.86.121.59,172.66.164.67,TLSv1.2,362,Application Data
2,0.012845,172.66.164.67,100.86.121.59,TCP,66,443  >  53635 [ACK] Seq=1 Ack=297 Win=18 Len=0 TSval=868396040 TSecr=600692835
3,0.035785,172.66.164.67,100.86.121.59,TLSv1.2,232,Application Data
4,0.035788,172.66.164.67,100.86.121.59,TLSv1.2,108,Application Data
5,0.035932,100.86.121.59,172.66.164.67,TCP,66,53635  >  443 [ACK] Seq=297 Ack=209 Win=2045 Len=0 TSval=600692871 TSecr=868396063
6,0.036347,172.66.164.67,100.86.121.59,TLSv1.2,97,Application Data
7,0.036426,100.86.121.59,172.66.164.67,TCP,66,53635  >  443 [ACK] Seq=297 Ack=240 Win=2048 Len=0 TSval=600692872 TSecr=868396063
8,0.037732,100.86.121.59,172.66.164.67,TLSv1.2,101,Application Data
9,0.090805,172.66.164.67,100.86.121.59,TCP,66,443  >  53635 [ACK] Seq=240 Ack=332 Win=18 Len=0 TSval=868396118 TSecr=600692873
10,10.121804,100.86.121.59,172.66.164.67,TLSv1.2,404,Application Data
11,10.121861,100.86.121.59,172.66.164.67,TLSv1.2,105,Application Data
12,10.173023,172.66.164.67,100.86.121.59,TCP,66,443  >  53635 [ACK] Seq=240 Ack=709 Win=18 Len=0 TSval=868406178 TSecr=600702957
13,10.173386,172.66.164.67,100.86.121.59,TLSv1.2,105,Application Data
14,10.17347,100.86.121.59,172.66.164.67,TCP,66,53635  >  443 [ACK] Seq=709 Ack=279 Win=2048 Len=0 TSval=600703009 TSecr=868406178
15,10.382134,172.66.164.67,100.86.121.59,TLSv1.2,240,Application Data
16,10.382237,100.86.121.59,172.66.164.67,TCP,66,53635  >  443 [ACK] Seq=709 Ack=453 Win=2046 Len=0 TSval=600703218 TSecr=868406362
17,10.389093,100.86.121.59,172.66.164.67,TLSv1.2,521,Application Data
18,10.554952,172.66.164.67,100.86.121.59,TCP,66,443  >  53635 [ACK] Seq=453 Ack=1164 Win=18 Len=0 TSval=868406530 TSecr=600703224
19,11.627177,172.66.164.67,100.86.121.59,TLSv1.2,300,Application Data
20,11.627182,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=687 Ack=1164 Win=18 Len=1448 TSval=868407599 TSecr=600703224 [TCP PDU reassembled in 32]
21,11.627185,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=2135 Ack=1164 Win=18 Len=1448 TSval=868407599 TSecr=600703224 [TCP PDU reassembled in 32]
22,11.627191,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=3583 Ack=1164 Win=18 Len=1448 TSval=868407599 TSecr=600703224 [TCP PDU reassembled in 32]
23,11.627195,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=5031 Ack=1164 Win=18 Len=1448 TSval=868407599 TSecr=600703224 [TCP PDU reassembled in 32]
24,11.627198,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=6479 Ack=1164 Win=18 Len=1448 TSval=868407599 TSecr=600703224 [TCP PDU reassembled in 32]
25,11.627201,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=7927 Ack=1164 Win=18 Len=1448 TSval=868407599 TSecr=600703224 [TCP PDU reassembled in 32]
26,11.627204,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=9375 Ack=1164 Win=18 Len=1448 TSval=868407599 TSecr=600703224 [TCP PDU reassembled in 32]
27,11.627206,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=10823 Ack=1164 Win=18 Len=1448 TSval=868407599 TSecr=600703224 [TCP PDU reassembled in 32]
28,11.62721,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=12271 Ack=1164 Win=18 Len=1448 TSval=868407599 TSecr=600703224 [TCP PDU reassembled in 32]
29,11.62738,172.66.164.67,100.86.121.59,TCP,1514,"443  >  53635 [PSH, ACK] Seq=13719 Ack=1164 Win=18 Len=1448 TSval=868407599 TSecr=600703224 [TCP PDU reassembled in 32]"
30,11.627388,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=15167 Ack=1164 Win=18 Len=1448 TSval=868407600 TSecr=600703224 [TCP PDU reassembled in 32]
31,11.627486,100.86.121.59,172.66.164.67,TCP,66,53635  >  443 [ACK] Seq=1164 Ack=13719 Win=1841 Len=0 TSval=600704463 TSecr=868407599
32,11.627487,172.66.164.67,100.86.121.59,TLSv1.2,544,Application Data
33,11.62749,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=17093 Ack=1164 Win=18 Len=1448 TSval=868407600 TSecr=600703224 [TCP PDU reassembled in 46]
34,11.627494,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=18541 Ack=1164 Win=18 Len=1448 TSval=868407600 TSecr=600703224 [TCP PDU reassembled in 46]
35,11.627497,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=19989 Ack=1164 Win=18 Len=1448 TSval=868407600 TSecr=600703224 [TCP PDU reassembled in 46]
36,11.627595,100.86.121.59,172.66.164.67,TCP,66,53635  >  443 [ACK] Seq=1164 Ack=16615 Win=1796 Len=0 TSval=600704463 TSecr=868407600
37,11.627602,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=21437 Ack=1164 Win=18 Len=1448 TSval=868407600 TSecr=600703224 [TCP PDU reassembled in 46]
38,11.627605,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=22885 Ack=1164 Win=18 Len=1448 TSval=868407600 TSecr=600703224 [TCP PDU reassembled in 46]
39,11.627613,100.86.121.59,172.66.164.67,TCP,66,53635  >  443 [ACK] Seq=1164 Ack=21437 Win=1721 Len=0 TSval=600704463 TSecr=868407600
40,11.62769,100.86.121.59,172.66.164.67,TCP,66,53635  >  443 [ACK] Seq=1164 Ack=24333 Win=1676 Len=0 TSval=600704463 TSecr=868407600
41,11.628301,100.86.121.59,172.66.164.67,TCP,66,[TCP Window Update] 53635  >  443 [ACK] Seq=1164 Ack=24333 Win=2048 Len=0 TSval=600704464 TSecr=868407600
42,11.628998,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=24333 Ack=1164 Win=18 Len=1448 TSval=868407600 TSecr=600703224 [TCP PDU reassembled in 46]
43,11.629001,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=25781 Ack=1164 Win=18 Len=1448 TSval=868407600 TSecr=600703224 [TCP PDU reassembled in 46]
44,11.629003,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=27229 Ack=1164 Win=18 Len=1448 TSval=868407600 TSecr=600703224 [TCP PDU reassembled in 46]
45,11.629006,172.66.164.67,100.86.121.59,TCP,1514,443  >  53635 [ACK] Seq=28677 Ack=1164 Win=18 Len=1448 TSval=868407600 TSecr=600703224 [TCP PDU reassembled in 46]
46,11.629009,172.66.164.67,100.86.121.59,TLSv1.2,145,Application Data
47,11.629011,172.66.164.67,100.86.121.59,TLSv1.2,97,Application Data
48,11.629115,100.86.121.59,172.66.164.67,TCP,66,53635  >  443 [ACK] Seq=1164 Ack=30235 Win=1956 Len=0 TSval=600704464 TSecr=868407601
49,11.632822,100.86.121.59,172.66.164.67,TCP,66,[TCP Window Update] 53635  >  443 [ACK] Seq=1164 Ack=30235 Win=2048 Len=0 TSval=600704467 TSecr=868407601
50,11.633499,100.86.121.59,172.66.164.67,TLSv1.2,101,Application Data
51,11.685471,172.66.164.67,100.86.121.59,TCP,97,"[TCP Spurious Retransmission] 443  >  53635 [PSH, ACK] Seq=30204 Ack=1164 Win=18 Len=31 TSval=868407679 TSecr=600703224"
52,11.685555,100.86.121.59,172.66.164.67,TCP,78,[TCP Dup ACK 48#1] 53635  >  443 [ACK] Seq=1199 Ack=30235 Win=2048 Len=0 TSval=600704521 TSecr=868407679 SLE=30204 SRE=30235
53,11.704321,100.86.121.59,172.66.164.67,TLSv1.2,299,Application Data
54,11.710744,172.66.164.67,100.86.121.59,TCP,66,443  >  53635 [ACK] Seq=30235 Ack=1199 Win=18 Len=0 TSval=868407697 TSecr=600704469
55,11.809205,172.66.164.67,100.86.121.59,TCP,66,443  >  53635 [ACK] Seq=30235 Ack=1432 Win=18 Len=0 TSval=868407770 TSecr=600704540
56,11.851677,172.66.164.67,100.86.121.59,TLSv1.2,371,Application Data
57,11.851679,172.66.164.67,100.86.121.59,TLSv1.2,524,Application Data
58,11.85168,172.66.164.67,100.86.121.59,TLSv1.2,97,Application Data
59,11.851842,100.86.121.59,172.66.164.67,TCP,66,53635  >  443 [ACK] Seq=1432 Ack=31029 Win=2036 Len=0 TSval=600704687 TSecr=868407787
60,11.855498,100.86.121.59,172.66.164.67,TLSv1.2,254,Application Data
61,11.87055,100.86.121.59,172.66.164.67,TLSv1.2,987,Application Data
62,11.870642,100.86.121.59,172.66.164.67,TLSv1.2,147,Application Data
