"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.121.59","172.66.164.67","TLSv1.2","587","Application Data"
"2","0.013257","172.66.164.67","100.86.121.59","TCP","66","443  >  53635 [ACK] Seq=1 Ack=522 Win=18 Len=0 TSval=868479930 TSecr=600776725"
"3","0.036425","172.66.164.67","100.86.121.59","TLSv1.2","231","Application Data"
"4","0.036632","100.86.121.59","172.66.164.67","TCP","66","53635  >  443 [ACK] Seq=522 Ack=166 Win=2046 Len=0 TSval=600776762 TSecr=868479953"
"5","0.036680","172.66.164.67","100.86.121.59","TLSv1.2","290","Application Data"
"6","0.036683","172.66.164.67","100.86.121.59","TLSv1.2","97","Application Data"
"7","0.036799","100.86.121.59","172.66.164.67","TCP","66","53635  >  443 [ACK] Seq=522 Ack=421 Win=2043 Len=0 TSval=600776762 TSecr=868479954"
"8","0.039676","100.86.121.59","172.66.164.67","TLSv1.2","101","Application Data"
"9","0.090601","172.66.164.67","100.86.121.59","TCP","66","443  >  53635 [ACK] Seq=421 Ack=557 Win=18 Len=0 TSval=868480008 TSecr=600776765"
"10","1.117209","100.86.121.59","172.66.164.67","TLSv1.2","663","Application Data"
"11","1.127877","172.66.164.67","100.86.121.59","TCP","66","443  >  53635 [ACK] Seq=421 Ack=1154 Win=18 Len=0 TSval=868481045 TSecr=600777842"
"12","1.152058","172.66.164.67","100.86.121.59","TLSv1.2","258","Application Data"
"13","1.152061","172.66.164.67","100.86.121.59","TLSv1.2","290","Application Data"
"14","1.152220","100.86.121.59","172.66.164.67","TCP","66","53635  >  443 [ACK] Seq=1154 Ack=837 Win=2042 Len=0 TSval=600777877 TSecr=868481069"
"15","1.152564","172.66.164.67","100.86.121.59","TLSv1.2","97","Application Data"
"16","1.152620","100.86.121.59","172.66.164.67","TCP","66","53635  >  443 [ACK] Seq=1154 Ack=868 Win=2048 Len=0 TSval=600777878 TSecr=868481069"
"17","5.116577","100.86.121.59","172.66.164.67","TLSv1.2","412","Application Data"
"18","5.128605","100.86.121.59","172.66.164.67","TLSv1.2","206","Application Data"
"19","5.131598","100.86.121.59","172.66.164.67","TLSv1.2","1019","Application Data"
"20","5.131952","100.86.121.59","172.66.164.67","TLSv1.2","586","Application Data"
"21","5.141002","172.66.164.67","100.86.121.59","TCP","66","443  >  53635 [ACK] Seq=868 Ack=1640 Win=18 Len=0 TSval=868485057 TSecr=600781842"
"22","5.141903","172.66.164.67","100.86.121.59","TCP","66","443  >  53635 [ACK] Seq=868 Ack=3113 Win=18 Len=0 TSval=868485059 TSecr=600781857"
"23","5.152439","172.66.164.67","100.86.121.59","TLSv1.2","151","Application Data"
"24","5.152441","172.66.164.67","100.86.121.59","TLSv1.2","108","Application Data"
"25","5.152593","100.86.121.59","172.66.164.67","TCP","66","53635  >  443 [ACK] Seq=3113 Ack=995 Win=2047 Len=0 TSval=600781878 TSecr=868485068"
"26","5.152952","172.66.164.67","100.86.121.59","TLSv1.2","97","Application Data"
"27","5.152990","100.86.121.59","172.66.164.67","TCP","66","53635  >  443 [ACK] Seq=3113 Ack=1026 Win=2048 Len=0 TSval=600781878 TSecr=868485068"
"28","5.153276","100.86.121.59","172.66.164.67","TLSv1.2","656","Application Data"
"29","5.153578","100.86.121.59","172.66.164.67","TLSv1.2","101","Application Data"
"30","5.162784","172.66.164.67","100.86.121.59","TLSv1.2","208","Application Data"
"31","5.162787","172.66.164.67","100.86.121.59","TLSv1.2","290","Application Data"
"32","5.162959","100.86.121.59","172.66.164.67","TCP","66","53635  >  443 [ACK] Seq=3738 Ack=1392 Win=2043 Len=0 TSval=600781888 TSecr=868485078"
"33","5.163238","172.66.164.67","100.86.121.59","TLSv1.2","97","Application Data"
"34","5.163320","100.86.121.59","172.66.164.67","TCP","66","53635  >  443 [ACK] Seq=3738 Ack=1423 Win=2048 Len=0 TSval=600781888 TSecr=868485078"
"35","5.163548","172.66.164.67","100.86.121.59","TCP","66","443  >  53635 [ACK] Seq=1423 Ack=3738 Win=18 Len=0 TSval=868485080 TSecr=600781878"
"36","5.165380","172.66.164.67","100.86.121.59","TLSv1.2","135","Application Data"
"37","5.165438","100.86.121.59","172.66.164.67","TCP","66","53635  >  443 [ACK] Seq=3738 Ack=1492 Win=2047 Len=0 TSval=600781890 TSecr=868485082"
"38","5.165546","172.66.164.67","100.86.121.59","TLSv1.2","290","Application Data"
"39","5.165549","172.66.164.67","100.86.121.59","TLSv1.2","97","Application Data"
