"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.121.59","162.159.140.221","TCP","78","52365  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1289553197 TSecr=0 SACK_PERM"
"2","0.000107","100.86.121.59","162.159.140.221","TCP","78","52366  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1470200174 TSecr=0 SACK_PERM"
"3","0.003595","100.86.121.59","162.159.140.221","TCP","78","52367  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=601162457 TSecr=0 SACK_PERM"
"4","0.191187","162.159.140.221","100.86.121.59","TCP","74","443  >  52367 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM TSval=2219221195 TSecr=601162457 WS=8192"
"5","0.191190","162.159.140.221","100.86.121.59","TCP","74","80  >  52366 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM TSval=4291960809 TSecr=1470200174 WS=8192"
"6","0.191192","162.159.140.221","100.86.121.59","TCP","74","80  >  52365 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM TSval=711009957 TSecr=1289553197 WS=8192"
"7","0.191401","100.86.121.59","162.159.140.221","TCP","66","52367  >  443 [ACK] Seq=1 Ack=1 Win=131904 Len=0 TSval=601162645 TSecr=2219221195"
"8","0.191478","100.86.121.59","162.159.140.221","TCP","66","52366  >  80 [ACK] Seq=1 Ack=1 Win=131904 Len=0 TSval=1470200366 TSecr=4291960809"
"9","0.191523","100.86.121.59","162.159.140.221","TCP","66","52365  >  80 [ACK] Seq=1 Ack=1 Win=131904 Len=0 TSval=1289553389 TSecr=711009957"
"10","0.191814","100.86.121.59","162.159.140.221","TCP","1454","52367  >  443 [ACK] Seq=1 Ack=1 Win=131904 Len=1388 TSval=601162645 TSecr=2219221195 [TCP PDU reassembled in 11]"
"11","0.191823","100.86.121.59","162.159.140.221","TLSv1.3","429","Client Hello (SNI=depop.com)"
"12","0.291236","162.159.140.221","100.86.121.59","TCP","66","443  >  52367 [ACK] Seq=1 Ack=1752 Win=131072 Len=0 TSval=2219221356 TSecr=601162645"
"13","0.291479","162.159.140.221","100.86.121.59","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"14","0.291628","100.86.121.59","162.159.140.221","TCP","66","52367  >  443 [ACK] Seq=1752 Ack=1449 Win=130496 Len=0 TSval=601162745 TSecr=2219221366"
"15","0.291633","162.159.140.221","100.86.121.59","TCP","1514","443  >  52367 [PSH, ACK] Seq=1449 Ack=1752 Win=131072 Len=1448 TSval=2219221366 TSecr=601162645 [TCP PDU reassembled in 16]"
"16","0.291636","162.159.140.221","100.86.121.59","TLSv1.3","609","Application Data"
"17","0.291726","100.86.121.59","162.159.140.221","TCP","66","52367  >  443 [ACK] Seq=1752 Ack=3440 Win=128512 Len=0 TSval=601162745 TSecr=2219221366"
"18","0.296585","100.86.121.59","162.159.140.221","TLSv1.3","130","Change Cipher Spec, Application Data"
"19","0.297153","100.86.121.59","162.159.140.221","TLSv1.3","158","Application Data"
"20","0.297259","100.86.121.59","162.159.140.221","TLSv1.3","551","Application Data"
"21","0.389232","162.159.140.221","100.86.121.59","TCP","66","443  >  52367 [ACK] Seq=3440 Ack=2393 Win=131072 Len=0 TSval=2219221455 TSecr=601162750"
"22","0.389237","162.159.140.221","100.86.121.59","TLSv1.3","603","Application Data, Application Data"
"23","0.389514","162.159.140.221","100.86.121.59","TLSv1.3","264","Application Data"
"24","0.389523","100.86.121.59","162.159.140.221","TCP","66","52367  >  443 [ACK] Seq=2393 Ack=3977 Win=130560 Len=0 TSval=601162843 TSecr=2219221455"
"25","0.389625","100.86.121.59","162.159.140.221","TCP","66","52367  >  443 [ACK] Seq=2393 Ack=4175 Win=130368 Len=0 TSval=601162843 TSecr=2219221458"
"26","0.390231","100.86.121.59","162.159.140.221","TLSv1.3","97","Application Data"
"27","0.426200","100.86.121.59","172.66.0.219","QUIC","1292","Initial, DCID=92467187ee20456f, PKN: 1, PADDING, CRYPTO, PING, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PING, PING, PING, PADDING, PING, PING"
"28","0.426226","100.86.121.59","172.66.0.219","QUIC","1292","Initial, DCID=92467187ee20456f, PKN: 2, PADDING, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, PADDING"
"29","0.449281","172.66.0.219","100.86.121.59","QUIC","1242","Initial, SCID=01295efd194a70a4452b63fda04a688d9df2bce5, PKN: 0, ACK"
"30","0.449284","172.66.0.219","100.86.121.59","QUIC","1242","Initial, SCID=01295efd194a70a4452b63fda04a688d9df2bce5, PKN: 1, ACK, CRYPTO"
"31","0.450622","100.86.121.59","172.66.0.219","QUIC","1292","Initial, DCID=01295efd194a70a4452b63fda04a688d9df2bce5, PKN: 3, ACK, PADDING"
"32","0.456237","172.66.0.219","100.86.121.59","QUIC","1242","Initial, SCID=01295efd194a70a4452b63fda04a688d9df2bce5, PKN: 2, CRYPTO"
"33","0.456240","172.66.0.219","100.86.121.59","QUIC","1242","Handshake, SCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"34","0.456242","172.66.0.219","100.86.121.59","QUIC","1052","Handshake, SCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"35","0.456822","100.86.121.59","172.66.0.219","QUIC","93","Handshake, DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"36","0.458314","100.86.121.59","172.66.0.219","QUIC","127","Handshake, DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"37","0.458398","100.86.121.59","172.66.0.219","QUIC","125","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"38","0.458644","100.86.121.59","172.66.0.219","QUIC","538","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"39","0.469962","172.66.0.219","100.86.121.59","QUIC","570","Protected Payload (KP0)"
"40","0.469966","172.66.0.219","100.86.121.59","QUIC","66","Protected Payload (KP0)"
"41","0.470336","100.86.121.59","172.66.0.219","QUIC","85","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"42","0.471139","172.66.0.219","100.86.121.59","QUIC","66","Protected Payload (KP0)"
"43","0.471142","172.66.0.219","100.86.121.59","QUIC","91","Protected Payload (KP0)"
"44","0.471329","100.86.121.59","172.66.0.219","QUIC","89","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"45","0.472259","172.66.0.219","100.86.121.59","QUIC","66","Protected Payload (KP0)"
"46","0.472594","162.159.140.221","100.86.121.59","TCP","66","443  >  52367 [ACK] Seq=4175 Ack=2424 Win=131072 Len=0 TSval=2219221579 TSecr=601162844"
"47","0.483212","172.66.0.219","100.86.121.59","QUIC","70","Protected Payload (KP0)"
"48","0.508890","100.86.121.59","172.66.0.219","QUIC","86","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"49","0.653585","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"50","0.653588","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"51","0.653924","100.86.121.59","172.66.0.219","QUIC","85","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"52","0.654193","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"53","0.654195","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"54","0.654519","100.86.121.59","172.66.0.219","QUIC","85","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"55","0.655320","172.66.0.219","100.86.121.59","QUIC","603","Protected Payload (KP0)"
"56","0.655322","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"57","0.655323","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"58","0.655325","172.66.0.219","100.86.121.59","QUIC","755","Protected Payload (KP0)"
"59","0.655326","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"60","0.655328","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"61","0.655329","172.66.0.219","100.86.121.59","QUIC","1168","Protected Payload (KP0)"
"62","0.655449","100.86.121.59","172.66.0.219","QUIC","85","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"63","0.655541","100.86.121.59","172.66.0.219","QUIC","85","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"64","0.655567","100.86.121.59","172.66.0.219","QUIC","85","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"65","0.664609","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"66","0.664611","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"67","0.664918","100.86.121.59","172.66.0.219","QUIC","85","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"68","0.665034","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"69","0.665035","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"70","0.665036","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"71","0.665116","100.86.121.59","172.66.0.219","QUIC","85","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"72","0.665135","100.86.121.59","172.66.0.219","QUIC","85","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
"73","0.665580","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"74","0.665582","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"75","0.665583","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"76","0.666249","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"77","0.666250","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"78","0.666727","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"79","0.666729","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"80","0.666730","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"81","0.666731","172.66.0.219","100.86.121.59","QUIC","1242","Protected Payload (KP0)"
"82","0.666791","100.86.121.59","172.66.0.219","QUIC","85","Protected Payload (KP0), DCID=01295efd194a70a4452b63fda04a688d9df2bce5"
