"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","100.86.117.196","172.64.151.159","TCP","66","49209  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.018952800","172.64.151.159","100.86.117.196","TCP","66","443  >  49209 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"3","0.019106800","100.86.117.196","172.64.151.159","TCP","54","49209  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"4","0.020515800","100.86.117.196","172.64.151.159","TLSv1.3","1808","Client Hello (SNI=foodlion.com)"
"5","0.038742500","172.64.151.159","100.86.117.196","TCP","56","443  >  49209 [ACK] Seq=1 Ack=1755 Win=131072 Len=0"
"6","0.044743200","172.64.151.159","100.86.117.196","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"7","0.044743200","172.64.151.159","100.86.117.196","TCP","1514","443  >  49209 [ACK] Seq=1461 Ack=1755 Win=131072 Len=1460 [TCP PDU reassembled in 8]"
"8","0.044743200","172.64.151.159","100.86.117.196","TLSv1.3","637","Application Data"
"9","0.044817000","100.86.117.196","172.64.151.159","TCP","54","49209  >  443 [ACK] Seq=1755 Ack=3504 Win=65280 Len=0"
"10","0.050835200","100.86.117.196","172.64.151.159","TLSv1.3","118","Change Cipher Spec, Application Data"
"11","0.051400400","100.86.117.196","172.64.151.159","TLSv1.3","146","Application Data"
"12","0.051595900","100.86.117.196","172.64.151.159","TLSv1.3","1947","Application Data"
"13","0.062134600","172.64.151.159","100.86.117.196","TCP","56","443  >  49209 [ACK] Seq=3504 Ack=3804 Win=131072 Len=0"
"14","0.062856800","172.64.151.159","100.86.117.196","TLSv1.3","575","Application Data, Application Data"
"15","0.063359600","100.86.117.196","172.64.151.159","TLSv1.3","85","Application Data"
"16","0.116446000","172.64.151.159","100.86.117.196","TCP","56","443  >  49209 [ACK] Seq=4025 Ack=3835 Win=131072 Len=0"
"17","0.339044100","172.64.151.159","100.86.117.196","TLSv1.3","782","Application Data"
"18","0.339044100","172.64.151.159","100.86.117.196","TLSv1.3","1445","Application Data"
"19","0.339044100","172.64.151.159","100.86.117.196","TLSv1.3","1445","Application Data"
"20","0.339044100","172.64.151.159","100.86.117.196","TLSv1.3","1445","Application Data"
"21","0.339044100","172.64.151.159","100.86.117.196","TLSv1.3","971","Application Data"
"22","0.339044100","172.64.151.159","100.86.117.196","TLSv1.3","85","Application Data"
"23","0.339126800","100.86.117.196","172.64.151.159","TCP","54","49209  >  443 [ACK] Seq=3835 Ack=9874 Win=65280 Len=0"
"24","0.573795600","100.86.117.196","172.64.151.159","TLSv1.3","422","Application Data"
"25","0.574296400","100.86.117.196","172.64.151.159","TLSv1.3","875","Application Data"
"26","0.574418800","100.86.117.196","172.64.151.159","TLSv1.3","154","Application Data"
"27","0.591772800","172.64.151.159","100.86.117.196","TCP","56","443  >  49209 [ACK] Seq=9874 Ack=4203 Win=131072 Len=0"
"28","0.591772800","172.64.151.159","100.86.117.196","TCP","56","443  >  49209 [ACK] Seq=9874 Ack=5124 Win=131072 Len=0"
"29","0.614323800","172.64.151.159","100.86.117.196","TLSv1.3","357","Application Data"
"30","0.617067200","172.64.151.159","100.86.117.196","TLSv1.3","1445","Application Data"
"31","0.617143800","100.86.117.196","172.64.151.159","TCP","54","49209  >  443 [ACK] Seq=5124 Ack=11568 Win=65280 Len=0"
"32","0.617291700","172.64.151.159","100.86.117.196","TLSv1.3","1445","Application Data"
"33","0.621470600","172.64.151.159","100.86.117.196","TLSv1.3","1514","Application Data"
"34","0.621470600","172.64.151.159","100.86.117.196","TLSv1.3","1006","Application Data"
"35","0.621470600","172.64.151.159","100.86.117.196","TLSv1.3","85","Application Data"
"36","0.621598200","100.86.117.196","172.64.151.159","TCP","54","49209  >  443 [ACK] Seq=5124 Ack=15402 Win=65280 Len=0"
"37","0.623397600","172.64.151.159","100.86.117.196","TLSv1.3","222","Application Data"
"38","0.623923400","172.64.151.159","100.86.117.196","TLSv1.3","1445","Application Data"
"39","0.623993900","100.86.117.196","172.64.151.159","TCP","54","49209  >  443 [ACK] Seq=5124 Ack=16961 Win=65280 Len=0"
"40","0.624296500","172.64.151.159","100.86.117.196","TLSv1.3","1445","Application Data"
"41","0.629944300","172.64.151.159","100.86.117.196","TLSv1.3","1514","Application Data"
"42","0.629944300","172.64.151.159","100.86.117.196","TLSv1.3","1376","Application Data"
"43","0.629944300","172.64.151.159","100.86.117.196","TLSv1.3","4434","Application Data, Application Data, Application Data"
"44","0.629944300","172.64.151.159","100.86.117.196","TLSv1.3","1238","Application Data"
"45","0.629944300","172.64.151.159","100.86.117.196","TLSv1.3","1514","Application Data"
"46","0.629944300","172.64.151.159","100.86.117.196","TLSv1.3","1514","Application Data"
"47","0.629944300","172.64.151.159","100.86.117.196","TLSv1.3","1514","Application Data"
"48","0.629944300","172.64.151.159","100.86.117.196","TLSv1.3","1514","Application Data"
