"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.121.59","140.82.114.4","TCP","78","51675  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2371053860 TSecr=0 SACK_PERM"
"2","0.000140","100.86.121.59","140.82.114.4","TCP","78","51676  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=597513178 TSecr=0 SACK_PERM"
"3","0.158645","140.82.114.4","100.86.121.59","TCP","74","443  >  51676 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM TSval=831300223 TSecr=597513178 WS=1024"
"4","0.158729","100.86.121.59","140.82.114.4","TCP","66","51676  >  443 [ACK] Seq=1 Ack=1 Win=132480 Len=0 TSval=597513337 TSecr=831300223"
"5","0.158783","140.82.114.4","100.86.121.59","TCP","74","443  >  51675 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM TSval=1911906025 TSecr=2371053860 WS=1024"
"6","0.158827","100.86.121.59","140.82.114.4","TCP","66","51675  >  443 [ACK] Seq=1 Ack=1 Win=132480 Len=0 TSval=2371054019 TSecr=1911906025"
"7","0.158992","100.86.121.59","140.82.114.4","TCP","1490","51676  >  443 [ACK] Seq=1 Ack=1 Win=132480 Len=1424 TSval=597513337 TSecr=831300223 [TCP PDU reassembled in 8]"
"8","0.158997","100.86.121.59","140.82.114.4","TLSv1.3","426","Client Hello (SNI=github.com)"
"9","0.159214","100.86.121.59","140.82.114.4","TCP","1490","51675  >  443 [ACK] Seq=1 Ack=1 Win=132480 Len=1424 TSval=2371054020 TSecr=1911906025 [TCP PDU reassembled in 10]"
"10","0.159218","100.86.121.59","140.82.114.4","TLSv1.3","458","Client Hello (SNI=github.com)"
"11","0.306601","140.82.114.4","100.86.121.59","TLSv1.3","1490","Server Hello, Change Cipher Spec, Application Data"
"12","0.306605","140.82.114.4","100.86.121.59","TCP","1490","443  >  51675 [PSH, ACK] Seq=1425 Ack=1817 Win=69632 Len=1424 TSval=1911906199 TSecr=2371054020 [TCP PDU reassembled in 14]"
"13","0.306833","100.86.121.59","140.82.114.4","TCP","66","51675  >  443 [ACK] Seq=1817 Ack=2849 Win=129664 Len=0 TSval=2371054167 TSecr=1911906199"
"14","0.307228","140.82.114.4","100.86.121.59","TLSv1.3","312","Application Data, Application Data, Application Data"
"15","0.307322","100.86.121.59","140.82.114.4","TCP","66","51675  >  443 [ACK] Seq=1817 Ack=3095 Win=130880 Len=0 TSval=2371054168 TSecr=1911906199"
"16","0.308504","140.82.114.4","100.86.121.59","TCP","66","443  >  51676 [ACK] Seq=1 Ack=1785 Win=69632 Len=0 TSval=831300397 TSecr=597513337"
"17","0.308506","140.82.114.4","100.86.121.59","TLSv1.3","1490","Server Hello, Change Cipher Spec, Application Data"
"18","0.308510","140.82.114.4","100.86.121.59","TCP","1490","443  >  51676 [PSH, ACK] Seq=1425 Ack=1785 Win=69632 Len=1424 TSval=831300397 TSecr=597513337 [TCP PDU reassembled in 19]"
"19","0.308512","140.82.114.4","100.86.121.59","TLSv1.3","312","Application Data, Application Data, Application Data"
