"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","100.86.117.196","57.145.2.34","QUIC","1292","Initial, DCID=109409b258cc350c, PKN: 1, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO, PADDING"
"2","0.000243700","100.86.117.196","57.145.2.34","QUIC","1292","Initial, DCID=109409b258cc350c, PKN: 2, PADDING, CRYPTO, PADDING, CRYPTO, PING, PING, PING, CRYPTO, PING, CRYPTO, PING, PADDING, PING, CRYPTO, PING, PADDING, PING"
"3","0.017203200","57.145.2.34","100.86.117.196","QUIC","1274","Initial, SCID=ae001ff6216c841f, PKN: 848226, CRYPTO, ACK, PADDING"
"4","0.017203200","57.145.2.34","100.86.117.196","QUIC","1274","Handshake, SCID=ae001ff6216c841f"
"5","0.017203200","57.145.2.34","100.86.117.196","QUIC","1274","Handshake, SCID=ae001ff6216c841f"
"6","0.017203200","57.145.2.34","100.86.117.196","QUIC","746","Handshake, SCID=ae001ff6216c841f"
"7","0.017203200","57.145.2.34","100.86.117.196","QUIC","122","Protected Payload (KP0)"
"8","0.018409500","100.86.117.196","57.145.2.34","QUIC","84","Handshake, DCID=ae001ff6216c841f"
"9","0.020818200","100.86.117.196","57.145.2.34","QUIC","85","Handshake, DCID=ae001ff6216c841f"
"10","0.023068400","100.86.117.196","57.145.2.34","QUIC","115","Handshake, DCID=ae001ff6216c841f"
"11","0.023633400","100.86.117.196","57.145.2.34","QUIC","112","Protected Payload (KP0), DCID=ae001ff6216c841f"
"12","0.024050300","100.86.117.196","57.145.2.34","QUIC","698","Protected Payload (KP0), DCID=ae001ff6216c841f"
"13","0.034234800","57.145.2.34","100.86.117.196","QUIC","81","Handshake, SCID=ae001ff6216c841f"
"14","0.034918800","57.145.2.34","100.86.117.196","QUIC","154","Protected Payload (KP0)"
"15","0.035278500","100.86.117.196","57.145.2.34","QUIC","77","Protected Payload (KP0), DCID=ae001ff6216c841f"
"16","0.036087200","57.145.2.34","100.86.117.196","QUIC","314","Protected Payload (KP0)"
"17","0.053482500","57.145.2.34","100.86.117.196","QUIC","90","Protected Payload (KP0)"
"18","0.070423300","100.86.117.196","57.145.2.34","QUIC","77","Protected Payload (KP0), DCID=ae001ff6216c841f"
"19","0.074310900","57.145.2.34","100.86.117.196","QUIC","301","Protected Payload (KP0)"
"20","0.074690500","100.86.117.196","57.145.2.34","QUIC","78","Protected Payload (KP0), DCID=ae001ff6216c841f"
"21","0.110844200","57.145.2.34","100.86.117.196","QUIC","442","Protected Payload (KP0)"
"22","0.129980600","100.86.117.196","57.145.2.34","QUIC","918","Protected Payload (KP0), DCID=ae001ff6216c841f"
"23","0.146898500","57.145.2.34","100.86.117.196","QUIC","90","Protected Payload (KP0)"
"24","0.178223400","100.86.117.196","57.145.2.34","QUIC","77","Protected Payload (KP0), DCID=ae001ff6216c841f"
"25","0.185719000","57.145.2.34","100.86.117.196","QUIC","72","Protected Payload (KP0)"
"26","0.186201700","100.86.117.196","57.145.2.34","QUIC","78","Protected Payload (KP0), DCID=ae001ff6216c841f"
"27","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"28","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"29","0.404819400","57.145.2.34","100.86.117.196","QUIC","1146","Protected Payload (KP0)"
"30","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"31","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"32","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"33","0.404819400","57.145.2.34","100.86.117.196","QUIC","954","Protected Payload (KP0)"
"34","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"35","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"36","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"37","0.404819400","57.145.2.34","100.86.117.196","QUIC","506","Protected Payload (KP0)"
"38","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"39","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"40","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"41","0.404819400","57.145.2.34","100.86.117.196","QUIC","506","Protected Payload (KP0)"
"42","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"43","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"44","0.404819400","57.145.2.34","100.86.117.196","QUIC","634","Protected Payload (KP0)"
"45","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"46","0.404819400","57.145.2.34","100.86.117.196","QUIC","378","Protected Payload (KP0)"
"47","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"48","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"49","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"50","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"51","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"52","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"53","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"54","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"55","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"56","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"57","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"58","0.404819400","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"59","0.405572600","57.145.2.34","100.86.117.196","QUIC","474","Protected Payload (KP0)"
"60","0.405572600","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"61","0.405572600","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"62","0.405572600","57.145.2.34","100.86.117.196","QUIC","666","Protected Payload (KP0)"
"63","0.405572600","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"64","0.405572600","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"65","0.405572600","57.145.2.34","100.86.117.196","QUIC","1274","Protected Payload (KP0)"
"66","0.406332400","100.86.117.196","57.145.2.34","QUIC","76","Protected Payload (KP0), DCID=ae001ff6216c841f"
"67","0.406804400","100.86.117.196","57.145.2.34","QUIC","80","Protected Payload (KP0), DCID=ae001ff6216c841f"
"68","0.407026200","100.86.117.196","57.145.2.34","QUIC","76","Protected Payload (KP0), DCID=ae001ff6216c841f"
