"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.121.59","54.237.226.164","TCP","78","51852  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2430813596 TSecr=0 SACK_PERM"
"2","0.016873","54.237.226.164","100.86.121.59","TCP","74","443  >  51852 [SYN, ACK, ECE] Seq=0 Ack=1 Win=41352 Len=0 MSS=1460 SACK_PERM TSval=1136210355 TSecr=2430813596 WS=512"
"3","0.017028","100.86.121.59","54.237.226.164","TCP","66","51852  >  443 [ACK] Seq=1 Ack=1 Win=131776 Len=0 TSval=2430813613 TSecr=1136210355"
"4","0.017276","100.86.121.59","54.237.226.164","TCP","1514","51852  >  443 [ACK] Seq=1 Ack=1 Win=131776 Len=1448 TSval=2430813613 TSecr=1136210355 [TCP PDU reassembled in 5]"
"5","0.017283","100.86.121.59","54.237.226.164","TLSv1.3","403","Client Hello (SNI=netflix.com)"
"6","0.017454","100.86.121.59","54.237.226.164","TCP","78","51853  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2550699351 TSecr=0 SACK_PERM"
"7","0.017516","100.86.121.59","54.237.226.164","TCP","78","51854  >  80 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2686635732 TSecr=0 SACK_PERM"
"8","0.030396","54.237.226.164","100.86.121.59","TCP","66","443  >  51852 [ACK] Seq=1 Ack=1786 Win=39936 Len=0 TSval=1136210372 TSecr=2430813613"
"9","0.031412","54.237.226.164","100.86.121.59","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"10","0.031414","54.237.226.164","100.86.121.59","TLSv1.3","1488","Application Data"
"11","0.031479","100.86.121.59","54.237.226.164","TCP","66","51852  >  443 [ACK] Seq=1786 Ack=2871 Win=128960 Len=0 TSval=2430813628 TSecr=1136210372"
"12","0.034136","100.86.121.59","54.237.226.164","TLSv1.3","130","Change Cipher Spec, Application Data"
"13","0.034266","100.86.121.59","54.237.226.164","TLSv1.3","158","Application Data"
"14","0.034300","100.86.121.59","54.237.226.164","TCP","1514","51852  >  443 [ACK] Seq=1942 Ack=2871 Win=131072 Len=1448 TSval=2430813630 TSecr=1136210372 [TCP PDU reassembled in 15]"
"15","0.034303","100.86.121.59","54.237.226.164","TLSv1.3","382","Application Data"
"16","0.034790","54.237.226.164","100.86.121.59","TCP","74","80  >  51854 [SYN, ACK, ECE] Seq=0 Ack=1 Win=41352 Len=0 MSS=1460 SACK_PERM TSval=177755787 TSecr=2686635732 WS=512"
"17","0.034791","54.237.226.164","100.86.121.59","TCP","74","80  >  51853 [SYN, ACK, ECE] Seq=0 Ack=1 Win=41352 Len=0 MSS=1460 SACK_PERM TSval=3019122134 TSecr=2550699351 WS=512"
"18","0.034875","100.86.121.59","54.237.226.164","TCP","66","51854  >  80 [ACK] Seq=1 Ack=1 Win=131776 Len=0 TSval=2686635749 TSecr=177755787"
"19","0.034899","100.86.121.59","54.237.226.164","TCP","66","51853  >  80 [ACK] Seq=1 Ack=1 Win=131776 Len=0 TSval=2550699369 TSecr=3019122134"
"20","0.046144","54.237.226.164","100.86.121.59","TLSv1.3","545","Application Data, Application Data"
"21","0.046146","54.237.226.164","100.86.121.59","TLSv1.3","101","Application Data"
"22","0.046242","100.86.121.59","54.237.226.164","TCP","66","51852  >  443 [ACK] Seq=3706 Ack=3385 Win=130560 Len=0 TSval=2430813642 TSecr=1136210387"
"23","0.046364","100.86.121.59","54.237.226.164","TLSv1.3","97","Application Data"
"24","0.048723","54.237.226.164","100.86.121.59","TCP","66","443  >  51852 [ACK] Seq=3385 Ack=3706 Win=38400 Len=0 TSval=1136210390 TSecr=2430813630"
"25","0.049448","54.237.226.164","100.86.121.59","TLSv1.3","97","Application Data"
"26","0.049498","100.86.121.59","54.237.226.164","TCP","66","51852  >  443 [ACK] Seq=3737 Ack=3416 Win=131072 Len=0 TSval=2430813646 TSecr=1136210391"
"27","0.075554","54.237.226.164","100.86.121.59","TLSv1.3","918","Application Data"
"28","0.075556","54.237.226.164","100.86.121.59","TLSv1.3","97","Application Data"
"29","0.075638","100.86.121.59","54.237.226.164","TCP","66","51852  >  443 [ACK] Seq=3737 Ack=4299 Win=130240 Len=0 TSval=2430813672 TSecr=1136210417"
"30","11.494629","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51854  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"31","11.494647","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51853  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"32","11.494662","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51852  >  443 [ACK] Seq=3736 Ack=4299 Win=131072 Len=0"
"33","11.511421","54.237.226.164","100.86.121.59","TCP","66","[TCP Keep-Alive ACK] 443  >  51852 [ACK] Seq=4299 Ack=3737 Win=38400 Len=0 TSval=1136221850 TSecr=2430813672"
"34","11.596090","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51854  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"35","11.602945","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51853  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"36","11.800336","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51854  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"37","11.820118","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51853  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"38","12.208766","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51854  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"39","12.253153","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51853  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"40","13.026011","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51854  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"41","13.117026","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51853  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"42","14.658626","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51854  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
"43","14.845587","100.86.121.59","54.237.226.164","TCP","54","[TCP Keep-Alive] 51853  >  80 [ACK] Seq=0 Ack=1 Win=131712 Len=0"
