No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,100.85.135.31,57.145.2.34,QUIC,1292,"Initial, DCID=e1ee4ffe46799f6e, PKN: 1, CRYPTO, PING, PING, CRYPTO, PADDING, PING, PADDING, PING, PING, PADDING, PING, PING, PADDING, CRYPTO, CRYPTO, PADDING, PING"
2,0.000102,100.85.135.31,57.145.2.34,QUIC,1292,"Initial, DCID=e1ee4ffe46799f6e, PKN: 2, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, PING, PADDING"
3,0.0021055,100.85.135.31,57.145.2.34,TCP,66,54727  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM
4,0.0112698,57.145.2.34,100.85.135.31,QUIC,1274,"Initial, SCID=b1008b8809b126f9, PKN: 12307220, CRYPTO, ACK, PADDING"
5,0.0112698,57.145.2.34,100.85.135.31,QUIC,1274,"Handshake, SCID=b1008b8809b126f9"
6,0.0112698,57.145.2.34,100.85.135.31,QUIC,1274,"Handshake, SCID=b1008b8809b126f9"
7,0.0112698,57.145.2.34,100.85.135.31,QUIC,749,"Handshake, SCID=b1008b8809b126f9"
8,0.0112698,57.145.2.34,100.85.135.31,QUIC,122,Protected Payload (KP0)
9,0.0126253,100.85.135.31,57.145.2.34,QUIC,84,"Handshake, DCID=b1008b8809b126f9"
10,0.014332,57.145.2.34,100.85.135.31,TCP,66,"443  >  54727 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
11,0.0145142,100.85.135.31,57.145.2.34,TCP,54,54727  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0
12,0.0159149,100.85.135.31,57.145.2.34,TLSv1.3,1873,Client Hello (SNI=instagram.com)
13,0.0162553,100.85.135.31,57.145.2.34,QUIC,85,"Handshake, DCID=b1008b8809b126f9"
14,0.0176687,100.85.135.31,57.145.2.34,QUIC,115,"Handshake, DCID=b1008b8809b126f9"
15,0.0180445,100.85.135.31,57.145.2.34,QUIC,113,"Protected Payload (KP0), DCID=b1008b8809b126f9"
