No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,172.20.40.110,151.101.194.187,TLSv1.2,2851,Application Data
2,0.0002264,172.20.40.110,151.101.194.187,TLSv1.2,93,Application Data
3,0.0176321,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1 Ack=2798 Win=3367 Len=0
4,0.0176321,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1 Ack=2837 Win=3367 Len=0
5,0.0176321,151.101.194.187,172.20.40.110,TLSv1.2,93,Application Data
6,0.0199404,151.101.194.187,172.20.40.110,TLSv1.2,368,Application Data
7,0.020046,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=2837 Ack=354 Win=257 Len=0
8,0.4306319,172.20.40.110,151.101.194.187,TLSv1.2,2842,Application Data
9,0.4481282,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=354 Ack=5625 Win=3378 Len=0
10,0.451541,151.101.194.187,172.20.40.110,TLSv1.2,153,Application Data
11,0.4838823,151.101.194.187,172.20.40.110,TCP,153,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=354 Ack=5625 Win=3378 Len=99"
12,0.4839451,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=5625 Ack=453 Win=256 Len=0 SLE=354 SRE=453
13,3.9408305,172.20.40.110,151.101.194.187,TLSv1.2,2873,Application Data
14,3.9521416,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=453 Ack=8444 Win=3389 Len=0
15,3.9554768,172.20.40.110,151.101.194.187,TLSv1.2,2864,Application Data
16,3.9580005,172.20.40.110,151.101.194.187,TLSv1.2,2858,Application Data
17,3.9582487,151.101.194.187,172.20.40.110,TLSv1.2,214,Application Data
18,3.9649987,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=613 Ack=11254 Win=3400 Len=0
19,3.9671741,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=613 Ack=14058 Win=3411 Len=0
20,3.9695354,151.101.194.187,172.20.40.110,TLSv1.2,185,Application Data
21,3.9696177,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=14058 Ack=744 Win=255 Len=0
22,3.9719599,151.101.194.187,172.20.40.110,TLSv1.2,103,Application Data
23,4.0114027,151.101.194.187,172.20.40.110,TCP,103,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=744 Ack=14058 Win=3411 Len=49"
24,4.0114696,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=14058 Ack=793 Win=255 Len=0 SLE=744 SRE=793
25,4.0206786,172.20.40.110,151.101.194.187,TLSv1.2,2858,Application Data
26,4.0318259,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=793 Ack=16862 Win=3422 Len=0
27,4.0363103,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
28,4.07058,151.101.194.187,172.20.40.110,TCP,130,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=793 Ack=16862 Win=3422 Len=76"
29,4.0706626,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=16862 Ack=869 Win=255 Len=0 SLE=793 SRE=869
30,4.1509383,172.20.40.110,151.101.194.187,TLSv1.2,2855,Application Data
31,4.1620407,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=869 Ack=19663 Win=3433 Len=0
32,4.1663486,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
33,4.1690775,172.20.40.110,151.101.194.187,TLSv1.2,2872,Application Data
34,4.1759137,172.20.40.110,151.101.194.187,TLSv1.2,2872,Application Data
35,4.1825446,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=940 Ack=22481 Win=3444 Len=0
36,4.1847863,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=940 Ack=25299 Win=3455 Len=0
37,4.1858084,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
38,4.187959,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
39,4.1880336,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=25299 Ack=1087 Win=254 Len=0
40,4.4480199,172.20.40.110,151.101.194.187,TLSv1.2,2866,Application Data
41,4.4482996,172.20.40.110,151.101.194.187,TLSv1.2,2864,Application Data
42,4.4485274,172.20.40.110,151.101.194.187,TLSv1.2,2861,Application Data
43,4.4575046,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1087 Ack=28111 Win=3466 Len=0
44,4.4607576,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
45,4.4618532,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1163 Ack=30921 Win=3477 Len=0
46,4.4618532,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1163 Ack=33728 Win=3487 Len=0
47,4.4640974,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
48,4.4641718,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=33728 Ack=1239 Win=253 Len=0
49,4.4664825,151.101.194.187,172.20.40.110,TLSv1.2,131,Application Data
50,4.5038863,151.101.194.187,172.20.40.110,TCP,131,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=1239 Ack=33728 Win=3487 Len=77"
51,4.5039324,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=33728 Ack=1316 Win=253 Len=0 SLE=1239 SRE=1316
52,4.5837825,172.20.40.110,151.101.194.187,TLSv1.2,2914,Application Data
53,4.5905723,172.20.40.110,151.101.194.187,TLSv1.2,2915,Application Data
54,4.5927771,172.20.40.110,151.101.194.187,TLSv1.2,2917,Application Data
55,4.5938226,172.20.40.110,151.101.194.187,TLSv1.2,2916,Application Data
56,4.5940969,172.20.40.110,151.101.194.187,TLSv1.2,2913,Application Data
57,4.6118944,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1316 Ack=36588 Win=3499 Len=0
58,4.6118944,151.101.194.187,172.20.40.110,TLSv1.2,240,Application Data
59,4.6119868,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=48033 Ack=1502 Win=258 Len=0
60,4.633674,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1502 Ack=39449 Win=3510 Len=0
61,4.633674,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1502 Ack=42312 Win=3521 Len=0
62,4.633674,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1502 Ack=45174 Win=3533 Len=0
63,4.633674,151.101.194.187,172.20.40.110,TLSv1.2,251,Application Data
64,4.633674,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
65,4.633674,151.101.194.187,172.20.40.110,TLSv1.2,124,Application Data
66,4.633674,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1840 Ack=46554 Win=3538 Len=0
67,4.6337882,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=48033 Ack=1840 Win=257 Len=0
68,4.6415555,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1840 Ack=48033 Win=3544 Len=0
69,4.6427772,151.101.194.187,172.20.40.110,TLSv1.2,146,Application Data
70,4.6839498,151.101.194.187,172.20.40.110,TCP,146,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=1840 Ack=48033 Win=3544 Len=92"
71,4.6840836,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=48033 Ack=1932 Win=257 Len=0 SLE=1840 SRE=1932
72,5.2647715,172.20.40.110,151.101.194.187,TLSv1.2,2911,Application Data
73,5.2658999,172.20.40.110,151.101.194.187,TLSv1.2,2909,Application Data
74,5.2738187,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1932 Ack=50890 Win=3555 Len=0
75,5.2751041,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=1932 Ack=53745 Win=3566 Len=0
76,5.2761856,151.101.194.187,172.20.40.110,TLSv1.2,98,Application Data
77,5.2773431,151.101.194.187,172.20.40.110,TLSv1.2,131,Application Data
78,5.2774201,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=53745 Ack=2053 Win=256 Len=0
79,5.3268593,172.20.40.110,151.101.194.187,TLSv1.2,2912,Application Data
80,5.3421535,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2053 Ack=55125 Win=3572 Len=0
81,5.3421535,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2053 Ack=56603 Win=3578 Len=0
82,5.3455142,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
83,5.3819124,151.101.194.187,172.20.40.110,TCP,125,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=2053 Ack=56603 Win=3578 Len=71"
84,5.3819707,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=56603 Ack=2124 Win=256 Len=0 SLE=2053 SRE=2124
85,5.4239751,172.20.40.110,151.101.194.187,TLSv1.2,2911,Application Data
86,5.4359492,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2124 Ack=59460 Win=3589 Len=0
87,5.4383466,151.101.194.187,172.20.40.110,TLSv1.2,191,Application Data
88,5.4741319,151.101.194.187,172.20.40.110,TCP,191,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=2124 Ack=59460 Win=3589 Len=137"
89,5.4742626,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=59460 Ack=2261 Win=255 Len=0 SLE=2124 SRE=2261
90,16.0449206,172.20.40.110,151.101.194.187,TLSv1.2,2933,Application Data
91,16.0450451,172.20.40.110,151.101.194.187,TLSv1.2,93,Application Data
92,16.0515171,172.20.40.110,151.101.194.187,TLSv1.2,2924,Application Data
93,16.0519165,172.20.40.110,151.101.194.187,TLSv1.2,2918,Application Data
94,16.0645587,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2261 Ack=62339 Win=3600 Len=0
95,16.0645587,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2261 Ack=62378 Win=3600 Len=0
96,16.0645587,151.101.194.187,172.20.40.110,TLSv1.2,93,Application Data
97,16.0697509,151.101.194.187,172.20.40.110,TLSv1.2,214,Application Data
98,16.0698305,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=68112 Ack=2460 Win=255 Len=0
99,16.0708234,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2460 Ack=65248 Win=3611 Len=0
100,16.0708234,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2460 Ack=68112 Win=3623 Len=0
101,16.0760721,151.101.194.187,172.20.40.110,TLSv1.2,124,Application Data
102,16.0773988,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
103,16.0774925,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=68112 Ack=2606 Win=254 Len=0
104,16.0974502,172.20.40.110,151.101.194.187,TLSv1.2,2918,Application Data
105,16.1064933,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2606 Ack=70976 Win=3634 Len=0
106,16.1120052,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
107,16.1321867,172.20.40.110,151.101.194.187,TLSv1.2,2930,Application Data
108,16.1418515,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2682 Ack=73852 Win=3645 Len=0
109,16.1473176,151.101.194.187,172.20.40.110,TLSv1.2,104,Application Data
110,16.1865577,151.101.194.187,172.20.40.110,TCP,104,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=2682 Ack=73852 Win=3645 Len=50"
111,16.1866166,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=73852 Ack=2732 Win=253 Len=0 SLE=2682 SRE=2732
112,16.2351157,172.20.40.110,151.101.194.187,TLSv1.2,2915,Application Data
113,16.246879,172.20.40.110,151.101.194.187,TLSv1.2,2932,Application Data
114,16.2470435,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2732 Ack=76713 Win=3656 Len=0
115,16.2526327,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
116,16.2558225,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2803 Ack=79591 Win=3667 Len=0
117,16.2610774,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
118,16.2611578,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=79591 Ack=2879 Win=253 Len=0
119,16.2770657,172.20.40.110,151.101.194.187,TLSv1.2,2932,Application Data
120,16.2857808,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2879 Ack=82469 Win=3679 Len=0
121,16.2924252,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
122,16.3351069,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=82469 Ack=2950 Win=258 Len=0
123,16.3389488,151.101.194.187,172.20.40.110,TCP,125,"[TCP Spurious Retransmission] 443  >  50060 [PSH, ACK] Seq=2879 Ack=82469 Win=3679 Len=71"
124,16.3390048,172.20.40.110,151.101.194.187,TCP,66,[TCP Dup ACK 122#1] 50060  >  443 [ACK] Seq=82469 Ack=2950 Win=258 Len=0 SLE=2879 SRE=2950
125,16.3567835,172.20.40.110,151.101.194.187,TLSv1.2,2919,Application Data
126,16.3661425,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=2950 Ack=85334 Win=3690 Len=0
127,16.372685,151.101.194.187,172.20.40.110,TLSv1.2,124,Application Data
128,16.4196706,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=85334 Ack=3020 Win=258 Len=0
129,16.4230947,151.101.194.187,172.20.40.110,TCP,124,"[TCP Spurious Retransmission] 443  >  50060 [PSH, ACK] Seq=2950 Ack=85334 Win=3690 Len=70"
130,16.4231844,172.20.40.110,151.101.194.187,TCP,66,[TCP Dup ACK 128#1] 50060  >  443 [ACK] Seq=85334 Ack=3020 Win=258 Len=0 SLE=2950 SRE=3020
131,16.4329246,172.20.40.110,151.101.194.187,TLSv1.2,2918,Application Data
132,16.4388252,172.20.40.110,151.101.194.187,TLSv1.2,2919,Application Data
133,16.4390799,172.20.40.110,151.101.194.187,TLSv1.2,2921,Application Data
134,16.4392593,172.20.40.110,151.101.194.187,TLSv1.2,2920,Application Data
135,16.4394234,172.20.40.110,151.101.194.187,TLSv1.2,2917,Application Data
136,16.4428352,172.20.40.110,151.101.194.187,TLSv1.2,2922,Application Data
137,16.4526537,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3020 Ack=88198 Win=3701 Len=0
138,16.4526537,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
139,16.4591908,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3096 Ack=91063 Win=3712 Len=0
140,16.4591908,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3096 Ack=93930 Win=3723 Len=0
141,16.4591908,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3096 Ack=96796 Win=3735 Len=0
142,16.4591908,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3096 Ack=99659 Win=3746 Len=0
143,16.4613421,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3096 Ack=102527 Win=3757 Len=0
144,16.465331,151.101.194.187,172.20.40.110,TLSv1.2,251,Application Data
145,16.465331,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
146,16.465331,151.101.194.187,172.20.40.110,TLSv1.2,98,Application Data
147,16.465331,151.101.194.187,172.20.40.110,TLSv1.2,124,Application Data
148,16.4657694,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=102527 Ack=3478 Win=256 Len=0
149,16.4662715,151.101.194.187,172.20.40.110,TLSv1.2,147,Application Data
150,16.4664415,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=102527 Ack=3571 Win=256 Len=0
151,16.6085506,172.20.40.110,151.101.194.187,TLSv1.2,2889,Application Data
152,16.6088487,172.20.40.110,151.101.194.187,TLSv1.2,2908,Application Data
153,16.6090846,172.20.40.110,151.101.194.187,TLSv1.2,2883,Application Data
154,16.623289,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3571 Ack=103907 Win=3763 Len=0
155,16.623289,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3571 Ack=105362 Win=3769 Len=0
156,16.623289,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3571 Ack=108216 Win=3780 Len=0
157,16.623289,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3571 Ack=111045 Win=3791 Len=0
158,16.6276973,151.101.194.187,172.20.40.110,TLSv1.2,241,Application Data
159,16.6287013,151.101.194.187,172.20.40.110,TLSv1.2,191,Application Data
160,16.6287013,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
161,16.6288117,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=111045 Ack=3971 Win=254 Len=0
162,20.5388299,172.20.40.110,151.101.194.187,TLSv1.2,2953,Application Data
163,20.5502381,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=3971 Ack=113944 Win=3802 Len=0
164,20.5515902,151.101.194.187,172.20.40.110,TLSv1.2,214,Application Data
165,20.5894772,151.101.194.187,172.20.40.110,TCP,214,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=3971 Ack=113944 Win=3802 Len=160"
166,20.5895362,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=113944 Ack=4131 Win=254 Len=0 SLE=3971 SRE=4131
167,20.5997766,172.20.40.110,151.101.194.187,TLSv1.2,2954,Application Data
168,20.6099014,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=4131 Ack=116844 Win=3814 Len=0
169,20.6120992,151.101.194.187,172.20.40.110,TLSv1.2,241,Application Data
170,20.6475568,151.101.194.187,172.20.40.110,TCP,241,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=4131 Ack=116844 Win=3814 Len=187"
171,20.6477036,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=116844 Ack=4318 Win=253 Len=0 SLE=4131 SRE=4318
172,20.6543256,172.20.40.110,151.101.194.187,TLSv1.2,2953,Application Data
173,20.6657047,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=4318 Ack=119743 Win=3825 Len=0
174,20.668677,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
175,20.704433,151.101.194.187,172.20.40.110,TCP,130,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=4318 Ack=119743 Win=3825 Len=76"
176,20.7045334,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=119743 Ack=4394 Win=258 Len=0 SLE=4318 SRE=4394
177,22.0873796,172.20.40.110,151.101.194.187,TLSv1.2,2939,Application Data
178,22.0997344,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=4394 Ack=122628 Win=3836 Len=0
179,22.1010883,151.101.194.187,172.20.40.110,TLSv1.2,240,Application Data
180,22.1381005,151.101.194.187,172.20.40.110,TCP,240,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=4394 Ack=122628 Win=3836 Len=186"
181,22.1381629,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=122628 Ack=4580 Win=258 Len=0 SLE=4394 SRE=4580
182,22.1812248,172.20.40.110,151.101.194.187,TLSv1.2,2942,Application Data
183,22.1982448,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=4580 Ack=125516 Win=3847 Len=0
184,22.200321,151.101.194.187,172.20.40.110,TLSv1.2,257,Application Data
185,22.2116025,172.20.40.110,151.101.194.187,TLSv1.2,2944,Application Data
186,22.2211684,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=4783 Ack=128406 Win=3847 Len=0
187,22.2290777,151.101.194.187,172.20.40.110,TLSv1.2,152,Application Data
188,22.2645919,151.101.194.187,172.20.40.110,TCP,152,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=4783 Ack=128406 Win=3847 Len=98"
189,22.264654,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=128406 Ack=4881 Win=256 Len=0 SLE=4783 SRE=4881
190,24.9586729,172.20.40.110,151.101.194.187,TLSv1.2,2959,Application Data
191,24.9660665,172.20.40.110,151.101.194.187,TLSv1.2,2950,Application Data
192,24.9662874,172.20.40.110,151.101.194.187,TLSv1.2,2944,Application Data
193,24.9682281,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=4881 Ack=131311 Win=3847 Len=0
194,24.973433,151.101.194.187,172.20.40.110,TLSv1.2,214,Application Data
195,24.9813645,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5041 Ack=134207 Win=3847 Len=0
196,24.9813645,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5041 Ack=137097 Win=3847 Len=0
197,24.9825121,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
198,24.9825121,151.101.194.187,172.20.40.110,TLSv1.2,185,Application Data
199,24.9825606,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=137097 Ack=5248 Win=255 Len=0
200,25.023127,172.20.40.110,151.101.194.187,TLSv1.2,2944,Application Data
201,25.0346819,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5248 Ack=139987 Win=3847 Len=0
202,25.0370908,151.101.194.187,172.20.40.110,TLSv1.2,104,Application Data
203,25.0757391,151.101.194.187,172.20.40.110,TCP,104,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=5248 Ack=139987 Win=3847 Len=50"
204,25.0758104,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=139987 Ack=5298 Win=255 Len=0 SLE=5248 SRE=5298
205,25.1640865,172.20.40.110,151.101.194.187,TLSv1.2,2941,Application Data
206,25.1749896,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5298 Ack=142874 Win=3847 Len=0
207,25.1766188,172.20.40.110,151.101.194.187,TLSv1.2,2958,Application Data
208,25.1794633,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
209,25.1860727,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5369 Ack=145778 Win=3847 Len=0
210,25.1896301,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
211,25.1897111,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=145778 Ack=5445 Win=254 Len=0
212,25.2090768,172.20.40.110,151.101.194.187,TLSv1.2,2958,Application Data
213,25.2183688,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5445 Ack=148682 Win=3847 Len=0
214,25.2237514,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
215,25.2617348,151.101.194.187,172.20.40.110,TCP,125,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=5445 Ack=148682 Win=3847 Len=71"
216,25.2617946,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=148682 Ack=5516 Win=254 Len=0 SLE=5445 SRE=5516
217,25.3848204,172.20.40.110,151.101.194.187,TLSv1.2,2952,Application Data
218,25.3854537,172.20.40.110,151.101.194.187,TLSv1.2,2950,Application Data
219,25.3862975,172.20.40.110,151.101.194.187,TLSv1.2,2941,Application Data
220,25.3988282,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5516 Ack=151580 Win=3847 Len=0
221,25.3988282,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5516 Ack=154476 Win=3847 Len=0
222,25.403865,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5516 Ack=157363 Win=3853 Len=0
223,25.403865,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
224,25.403865,151.101.194.187,172.20.40.110,TLSv1.2,131,Application Data
225,25.403865,151.101.194.187,172.20.40.110,TLSv1.2,130,Application Data
226,25.4039668,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=157363 Ack=5745 Win=253 Len=0
227,25.5292516,172.20.40.110,151.101.194.187,TLSv1.2,2947,Application Data
228,25.5295137,172.20.40.110,151.101.194.187,TLSv1.2,2943,Application Data
229,25.5296909,172.20.40.110,151.101.194.187,TLSv1.2,2944,Application Data
230,25.5298692,172.20.40.110,151.101.194.187,TLSv1.2,2946,Application Data
231,25.5302982,172.20.40.110,151.101.194.187,TLSv1.2,2945,Application Data
232,25.5304913,172.20.40.110,151.101.194.187,TLSv1.2,2942,Application Data
233,25.5538015,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5745 Ack=160256 Win=3853 Len=0
234,25.5538015,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5745 Ack=163145 Win=3853 Len=0
235,25.5538015,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5745 Ack=166035 Win=3853 Len=0
236,25.5538015,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5745 Ack=168927 Win=3853 Len=0
237,25.5538015,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5745 Ack=171818 Win=3853 Len=0
238,25.5574802,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=5745 Ack=174706 Win=3853 Len=0
239,25.5574802,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
240,25.5574802,151.101.194.187,172.20.40.110,TLSv1.2,194,"Application Data, Application Data"
241,25.5574802,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
242,25.5574802,151.101.194.187,172.20.40.110,TLSv1.2,305,Application Data
243,25.5575948,172.20.40.110,151.101.194.187,TCP,54,50060  >  443 [ACK] Seq=174706 Ack=6278 Win=258 Len=0
244,32.7480584,172.20.40.110,151.101.194.187,TLSv1.2,2962,Application Data
245,32.7588926,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=6278 Ack=177614 Win=3853 Len=0
246,32.7633257,151.101.194.187,172.20.40.110,TLSv1.2,236,Application Data
247,32.7833484,172.20.40.110,151.101.194.187,TLSv1.2,2963,Application Data
248,32.7958421,151.101.194.187,172.20.40.110,TCP,60,443  >  50060 [ACK] Seq=6460 Ack=180523 Win=3853 Len=0
249,32.7969554,151.101.194.187,172.20.40.110,TLSv1.2,125,Application Data
250,32.8346404,151.101.194.187,172.20.40.110,TCP,125,"[TCP Retransmission] 443  >  50060 [PSH, ACK] Seq=6460 Ack=180523 Win=3853 Len=71"
251,32.8347081,172.20.40.110,151.101.194.187,TCP,66,50060  >  443 [ACK] Seq=180523 Ack=6531 Win=257 Len=0 SLE=6460 SRE=6531
252,39.3770429,172.20.40.110,151.101.194.187,TLSv1.2,2948,Application Data
