"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","100.84.170.161","151.101.66.187","TCP","66","59747  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.012635100","151.101.66.187","100.84.170.161","TCP","66","443  >  59747 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=512"
"3","0.012732100","100.84.170.161","151.101.66.187","TCP","54","59747  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"4","0.014814800","100.84.170.161","151.101.66.187","TLSv1.3","2033","Client Hello (SNI=www.target.com)"
"5","0.023390700","151.101.66.187","100.84.170.161","TCP","56","443  >  59747 [ACK] Seq=1 Ack=1980 Win=144384 Len=0"
"6","0.023695200","151.101.66.187","100.84.170.161","TLSv1.3","1510","Server Hello, Change Cipher Spec, Application Data, Application Data"
"7","0.024105100","151.101.66.187","100.84.170.161","TLSv1.3","139","Application Data"
"8","0.024136100","100.84.170.161","151.101.66.187","TCP","54","59747  >  443 [ACK] Seq=1980 Ack=1542 Win=131328 Len=0"
"9","0.024724100","100.84.170.161","151.101.66.187","TLSv1.3","118","Change Cipher Spec, Application Data"
"10","0.025392400","100.84.170.161","151.101.66.187","TLSv1.3","146","Application Data"
"11","0.025983500","100.84.170.161","151.101.66.187","TLSv1.3","2512","Application Data"
"12","0.033411200","151.101.66.187","100.84.170.161","TCP","56","443  >  59747 [ACK] Seq=1542 Ack=2044 Win=144384 Len=0"
"13","0.033854600","151.101.66.187","100.84.170.161","TLSv1.3","119","Application Data"
"14","0.034280400","100.84.170.161","151.101.66.187","TLSv1.3","85","Application Data"
"15","0.035128000","151.101.66.187","100.84.170.161","TCP","56","443  >  59747 [ACK] Seq=1607 Ack=4594 Win=142336 Len=0"
"16","0.037154000","151.101.66.187","100.84.170.161","TLSv1.3","451","Application Data"
"17","0.043105000","151.101.66.187","100.84.170.161","TCP","56","443  >  59747 [ACK] Seq=2004 Ack=4625 Win=142336 Len=0"
"18","0.069432900","151.101.66.187","100.84.170.161","TCP","451","[TCP Retransmission] 443  >  59747 [PSH, ACK] Seq=1607 Ack=4625 Win=142336 Len=397"
"19","0.069476600","100.84.170.161","151.101.66.187","TCP","66","59747  >  443 [ACK] Seq=4625 Ack=2004 Win=130816 Len=0 SLE=1607 SRE=2004"
"20","0.420285400","100.84.170.161","151.101.66.187","TLSv1.3","2513","Application Data"
"21","0.430634500","151.101.66.187","100.84.170.161","TCP","56","443  >  59747 [ACK] Seq=2004 Ack=7084 Win=140288 Len=0"
