"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","100.86.117.196","151.101.2.167","TCP","66","52379  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.034707500","151.101.2.167","100.86.117.196","TCP","66","443  >  52379 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=512"
"3","0.034792900","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"4","0.035712100","100.86.117.196","151.101.2.167","TLSv1.2","1779","Client Hello (SNI=k.twitchcdn.net)"
"5","0.058716000","151.101.2.167","100.86.117.196","TCP","56","443  >  52379 [ACK] Seq=1 Ack=1726 Win=144896 Len=0"
"6","0.328908300","151.101.2.167","100.86.117.196","TCP","1510","[TCP Previous segment not captured] 443  >  52379 [PSH, ACK] Seq=1457 Ack=1726 Win=145920 Len=1456"
"7","0.328908300","151.101.2.167","100.86.117.196","TLSv1.2","1510","Ignored Unknown Record"
"8","0.328908300","151.101.2.167","100.86.117.196","TLSv1.2","1510","Ignored Unknown Record"
"9","0.328908300","151.101.2.167","100.86.117.196","TLSv1.2","461","Ignored Unknown Record"
"10","0.328908300","151.101.2.167","100.86.117.196","TCP","461","[TCP Retransmission] 443  >  52379 [PSH, ACK] Seq=5825 Ack=1726 Win=145920 Len=407"
"11","0.329019000","100.86.117.196","151.101.2.167","TCP","66","[TCP Dup ACK 3#1] 52379  >  443 [ACK] Seq=1726 Ack=1 Win=65280 Len=0 SLE=1457 SRE=2913"
"12","0.329117600","100.86.117.196","151.101.2.167","TCP","66","[TCP Dup ACK 3#2] 52379  >  443 [ACK] Seq=1726 Ack=1 Win=65280 Len=0 SLE=1457 SRE=4369"
"13","0.329156000","100.86.117.196","151.101.2.167","TCP","66","[TCP Dup ACK 3#3] 52379  >  443 [ACK] Seq=1726 Ack=1 Win=65280 Len=0 SLE=1457 SRE=5825"
"14","0.329190500","100.86.117.196","151.101.2.167","TCP","66","[TCP Dup ACK 3#4] 52379  >  443 [ACK] Seq=1726 Ack=1 Win=65280 Len=0 SLE=1457 SRE=6232"
"15","0.329223600","100.86.117.196","151.101.2.167","TCP","74","[TCP Dup ACK 3#5] 52379  >  443 [ACK] Seq=1726 Ack=1 Win=65280 Len=0 SLE=5825 SRE=6232 SLE=1457 SRE=6232"
"16","0.340290900","151.101.2.167","100.86.117.196","TCP","1510","[TCP Fast Retransmission] 443  >  52379 [ACK] Seq=1 Ack=1726 Win=145920 Len=1456"
"17","0.340447700","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=1726 Ack=6232 Win=65280 Len=0"
"18","0.347207200","100.86.117.196","151.101.2.167","TLSv1.2","118","Change Cipher Spec, Application Data"
"19","0.347893900","100.86.117.196","151.101.2.167","TLSv1.2","755","Application Data"
"20","0.359153400","151.101.2.167","100.86.117.196","TCP","56","443  >  52379 [ACK] Seq=6232 Ack=1790 Win=145920 Len=0"
"21","0.359153400","151.101.2.167","100.86.117.196","TCP","56","443  >  52379 [ACK] Seq=6232 Ack=2491 Win=145408 Len=0"
"22","0.359153400","151.101.2.167","100.86.117.196","TLSv1.2","914","Application Data"
"23","0.359153400","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"24","0.359360500","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=8548 Win=65280 Len=0"
"25","0.359674800","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"26","0.374852600","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"27","0.374852600","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"28","0.374947700","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=12916 Win=65280 Len=0"
"29","0.375960500","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"30","0.376032500","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=14372 Win=64000 Len=0"
"31","0.376415900","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"32","0.385245100","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"33","0.385245100","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"34","0.385357300","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=18740 Win=65280 Len=0"
"35","0.397495000","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"36","0.397495000","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"37","0.397591700","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=21652 Win=65280 Len=0"
"38","0.406014100","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"39","0.406014100","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"40","0.406110700","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=24564 Win=65280 Len=0"
"41","0.407560900","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"42","0.407662800","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=26020 Win=64000 Len=0"
"43","0.408085900","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"44","0.423288100","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"45","0.423397300","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=28932 Win=65280 Len=0"
"46","0.427933000","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"47","0.427933000","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"48","0.427933000","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"49","0.427933000","151.101.2.167","100.86.117.196","TLSv1.2","2966","Application Data, Application Data"
"50","0.428060200","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=36212 Win=65280 Len=0"
"51","0.430363800","151.101.2.167","100.86.117.196","TLSv1.2","2966","Application Data, Application Data"
"52","0.430465000","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=39124 Win=65280 Len=0"
"53","0.434334000","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"54","0.434430600","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=40580 Win=64000 Len=0"
"55","0.438515700","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"56","0.438515700","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data, Application Data"
"57","0.438627200","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=43492 Win=65280 Len=0"
"58","0.440466300","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"59","0.446096100","151.101.2.167","100.86.117.196","TLSv1.2","4422","Application Data, Application Data, Application Data"
"60","0.446195400","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=49316 Win=65280 Len=0"
"61","0.450766700","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"62","0.456146200","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"63","0.456146200","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"64","0.456324700","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=53684 Win=65280 Len=0"
"65","0.464106400","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"66","0.464106400","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"67","0.464208600","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=56596 Win=65280 Len=0"
"68","0.468546200","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"69","0.468546200","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"70","0.468546200","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"71","0.468546200","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"72","0.468661000","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=62420 Win=65280 Len=0"
"73","0.470196000","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"74","0.470196000","151.101.2.167","100.86.117.196","TLSv1.2","1510","Application Data"
"75","0.470196000","151.101.2.167","100.86.117.196","TLSv1.2","1286","Application Data, Application Data"
"76","0.470293600","100.86.117.196","151.101.2.167","TCP","54","52379  >  443 [ACK] Seq=2491 Ack=66564 Win=65280 Len=0"
"77","45.478706300","100.86.117.196","151.101.2.167","TCP","55","[TCP Keep-Alive] 52379  >  443 [ACK] Seq=2490 Ack=66564 Win=65280 Len=1"
"78","45.495034000","151.101.2.167","100.86.117.196","TCP","66","[TCP Keep-Alive ACK] 443  >  52379 [ACK] Seq=66564 Ack=2491 Win=145920 Len=0 SLE=2490 SRE=2491"
