"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.121.59","13.226.209.43","QUIC","1292","Initial, DCID=c328d89bee1eda43, PKN: 1, PING, CRYPTO, PING, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING"
"2","0.000037","100.86.121.59","13.226.209.43","QUIC","1292","Initial, DCID=c328d89bee1eda43, PKN: 2, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PADDING, PING"
"3","0.019253","13.226.209.43","100.86.121.59","QUIC","1242","Initial, SCID=1f1113093a80d8634deb35f288e0456149bce9f8, PKN: 0, ACK, CRYPTO"
"4","0.019258","13.226.209.43","100.86.121.59","QUIC","1242","Handshake, SCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"5","0.020026","13.226.209.43","100.86.121.59","QUIC","1242","Handshake, SCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"6","0.020029","13.226.209.43","100.86.121.59","QUIC","1242","Handshake, SCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"7","0.020032","13.226.209.43","100.86.121.59","QUIC","961","Handshake, SCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"8","0.020232","100.86.121.59","13.226.209.43","QUIC","1292","Initial, DCID=1f1113093a80d8634deb35f288e0456149bce9f8, PKN: 3, ACK_ECN, PADDING"
"9","0.020300","100.86.121.59","13.226.209.43","QUIC","96","Handshake, DCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"10","0.020690","100.86.121.59","13.226.209.43","QUIC","96","Handshake, DCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"11","0.023257","100.86.121.59","13.226.209.43","QUIC","127","Handshake, DCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"12","0.023395","100.86.121.59","13.226.209.43","QUIC","127","Protected Payload (KP0), DCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"13","0.038583","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
"14","0.038587","13.226.209.43","100.86.121.59","QUIC","101","Protected Payload (KP0)"
"15","0.038905","100.86.121.59","13.226.209.43","QUIC","88","Protected Payload (KP0), DCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"16","0.038959","13.226.209.43","100.86.121.59","QUIC","85","Protected Payload (KP0)"
"17","0.063281","13.226.209.43","100.86.121.59","QUIC","85","Protected Payload (KP0)"
"18","0.068572","100.86.121.59","13.226.209.43","QUIC","89","Protected Payload (KP0), DCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"19","0.087923","100.86.121.59","13.226.209.43","QUIC","1292","Protected Payload (KP0), DCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"20","0.087944","100.86.121.59","13.226.209.43","QUIC","926","Protected Payload (KP0), DCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"21","0.138862","13.226.209.43","100.86.121.59","QUIC","85","Protected Payload (KP0)"
"22","0.168524","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
"23","0.168526","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
"24","0.168603","100.86.121.59","13.226.209.43","QUIC","88","Protected Payload (KP0), DCID=1f1113093a80d8634deb35f288e0456149bce9f8"
"25","0.170635","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
"26","0.170637","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
"27","0.170637","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
"28","0.170638","13.226.209.43","100.86.121.59","QUIC","921","Protected Payload (KP0)"
"29","0.170640","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
"30","0.170641","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
"31","0.170642","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
"32","0.170643","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
"33","0.170644","13.226.209.43","100.86.121.59","QUIC","1494","Protected Payload (KP0)"
