"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","100.85.135.31","57.145.2.34","TCP","66","53935  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.012692000","57.145.2.34","100.85.135.31","TCP","66","443  >  53935 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"3","0.012862200","100.85.135.31","57.145.2.34","TCP","54","53935  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"4","0.014113300","100.85.135.31","57.145.2.34","TLSv1.3","1777","Client Hello (SNI=instagram.com)"
"5","0.029738300","57.145.2.34","100.85.135.31","TCP","56","443  >  53935 [ACK] Seq=1 Ack=1724 Win=71168 Len=0"
"6","0.029738300","57.145.2.34","100.85.135.31","TLSv1.3","4230","Server Hello, Change Cipher Spec, Application Data, Application Data"
"7","0.029738300","57.145.2.34","100.85.135.31","TLSv1.3","96","Application Data"
"8","0.029888300","100.85.135.31","57.145.2.34","TCP","54","53935  >  443 [ACK] Seq=1724 Ack=4219 Win=65280 Len=0"
"9","0.034191500","100.85.135.31","57.145.2.34","TLSv1.3","118","Change Cipher Spec, Application Data"
"10","0.034683200","100.85.135.31","57.145.2.34","TLSv1.3","146","Application Data"
"11","0.034862200","100.85.135.31","57.145.2.34","TLSv1.3","543","Application Data"
"12","0.043875300","57.145.2.34","100.85.135.31","TCP","56","443  >  53935 [ACK] Seq=4219 Ack=1880 Win=71168 Len=0"
"13","0.044212200","57.145.2.34","100.85.135.31","TLSv1.3","234","Application Data"
"14","0.044535800","57.145.2.34","100.85.135.31","TLSv1.3","128","Application Data"
"15","0.044535800","57.145.2.34","100.85.135.31","TLSv1.3","98","Application Data"
"16","0.044653600","100.85.135.31","57.145.2.34","TCP","54","53935  >  443 [ACK] Seq=2369 Ack=4517 Win=65024 Len=0"
"17","0.044989800","100.85.135.31","57.145.2.34","TLSv1.3","85","Application Data"
"18","0.080848300","57.145.2.34","100.85.135.31","TLSv1.3","540","Application Data"
"19","0.095063100","100.85.135.31","57.145.2.34","QUIC","1292","Initial, DCID=e4de46bf4162ade3, PKN: 1, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, PING, CRYPTO, PING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, PING, PADDING, PING, PADDING"
"20","0.095253800","100.85.135.31","57.145.2.34","QUIC","1292","Initial, DCID=e4de46bf4162ade3, PKN: 2, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING"
"21","0.095845700","100.85.135.31","57.145.2.34","TLSv1.3","156","Application Data"
"22","0.107387100","57.145.2.34","100.85.135.31","TLSv1.3","89","Application Data"
"23","0.107754500","57.145.2.34","100.85.135.31","QUIC","1274","Handshake, SCID=a40004f50ac4cec4"
"24","0.107754500","57.145.2.34","100.85.135.31","QUIC","1274","Handshake, SCID=a40004f50ac4cec4"
"25","0.107754500","57.145.2.34","100.85.135.31","QUIC","1075","Handshake, SCID=a40004f50ac4cec4"
"26","0.107754500","57.145.2.34","100.85.135.31","QUIC","122","Protected Payload (KP0)"
"27","0.110756600","100.85.135.31","57.145.2.34","QUIC","1292","Initial, DCID=e4de46bf4162ade3, PKN: 4, PING, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO"
"28","0.121523400","57.145.2.34","100.85.135.31","QUIC","1274","Initial, SCID=a40004f50ac4cec4, PKN: 3157195, ACK, PADDING"
"29","0.152836200","100.85.135.31","57.145.2.34","TCP","54","53935  >  443 [ACK] Seq=2502 Ack=5038 Win=64512 Len=0"
"30","0.153241200","100.85.135.31","57.145.2.34","QUIC","1292","Initial, DCID=a40004f50ac4cec4, PKN: 6, PADDING, PING, PADDING"
"31","0.163295900","57.145.2.34","100.85.135.31","QUIC","1274","Initial, SCID=a40004f50ac4cec4, PKN: 3157196, ACK, PADDING"
"32","0.188508200","100.85.135.31","57.145.2.34","QUIC","1292","Initial, DCID=a40004f50ac4cec4, PKN: 8, PADDING, PING, PADDING"
"33","0.192241400","57.145.2.34","100.85.135.31","TCP","1446","443  >  53935 [ACK] Seq=5038 Ack=2502 Win=73984 Len=1392 [TCP PDU reassembled in 36]"
"34","0.192633400","57.145.2.34","100.85.135.31","TCP","1446","443  >  53935 [PSH, ACK] Seq=6430 Ack=2502 Win=73984 Len=1392 [TCP PDU reassembled in 36]"
"35","0.192676000","100.85.135.31","57.145.2.34","TCP","54","53935  >  443 [ACK] Seq=2502 Ack=7822 Win=65280 Len=0"
"36","0.193230900","57.145.2.34","100.85.135.31","TLSv1.3","1162","Application Data"
"37","0.193230900","57.145.2.34","100.85.135.31","TLSv1.3","77","Application Data"
"38","0.193230900","57.145.2.34","100.85.135.31","TLSv1.3","2838","Application Data"
"39","0.193295000","100.85.135.31","57.145.2.34","TCP","54","53935  >  443 [ACK] Seq=2502 Ack=11737 Win=65280 Len=0"
"40","0.193749900","57.145.2.34","100.85.135.31","TCP","1446","443  >  53935 [ACK] Seq=11737 Ack=2502 Win=73984 Len=1392 [TCP PDU reassembled in 41]"
"41","0.194402100","57.145.2.34","100.85.135.31","TLSv1.3","1446","Application Data"
"42","0.194446700","100.85.135.31","57.145.2.34","TCP","54","53935  >  443 [ACK] Seq=2502 Ack=14521 Win=65280 Len=0"
"43","0.195702000","57.145.2.34","100.85.135.31","TLSv1.3","2838","Application Data"
"44","0.195762800","100.85.135.31","57.145.2.34","TCP","54","53935  >  443 [ACK] Seq=2502 Ack=17305 Win=65280 Len=0"
"45","0.195937200","57.145.2.34","100.85.135.31","TCP","1446","443  >  53935 [ACK] Seq=17305 Ack=2502 Win=73984 Len=1392 [TCP PDU reassembled in 48]"
"46","0.196373100","57.145.2.34","100.85.135.31","TCP","1446","443  >  53935 [PSH, ACK] Seq=18697 Ack=2502 Win=73984 Len=1392 [TCP PDU reassembled in 48]"
"47","0.196410700","100.85.135.31","57.145.2.34","TCP","54","53935  >  443 [ACK] Seq=2502 Ack=20089 Win=65280 Len=0"
"48","0.197467800","57.145.2.34","100.85.135.31","TLSv1.3","2838","Application Data"
"49","0.197508100","100.85.135.31","57.145.2.34","TCP","54","53935  >  443 [ACK] Seq=2502 Ack=22873 Win=65280 Len=0"
